Index	Label
0	sir
1	get
2	come
3	like
4	mr
5	gaitonde
6	know
7	i'll
8	fuck
9	i'm
10	want
11	years
12	told
13	yes
14	he's
15	tell
16	one
17	god
18	go
19	back
20	eat
21	motherfucker
22	going
23	father
24	time
25	look
26	give
27	trivedi
28	sartaj
29	that's
30	parulkar
31	would
32	bunty
33	right
34	talk
35	people
36	bhonsle
37	bombay
38	what's
39	days
40	first
41	two
42	killed
43	city
44	ganesh
45	let
46	done
47	could
48	guy
49	everyone
50	ever
51	say
52	anything
53	us
54	country
55	th
56	think
57	listen
58	hindu
59	boss
60	business
61	india
62	call
63	police
64	three
65	made
66	car
67	work
68	singh
69	okay
70	shit
71	man
72	kill
73	number
74	please
75	religion
76	isa
77	they're
78	dad
79	salim
80	lord
81	called
82	got
83	last
84	see
85	away
86	move
87	let's
88	station
89	every
90	need
91	asshole
92	around
93	never
94	we'll
95	there's
96	much
97	came
98	help
99	everything
100	gone
101	said
102	dilbagh
103	kaka
104	food
105	sit
106	else
107	show
108	happen
109	well
110	hey
111	case
112	men
113	muslims
114	we're
115	mumbai
116	water
117	looking
118	old
119	hit
120	story
121	must
122	day
123	change
124	hotel
125	subhadra
126	mom
127	check
128	ma'am
129	happening
130	asked
131	fucking
132	keep
133	found
134	feel
135	good
136	take
137	nothing
138	took
139	many
140	forget
141	whore
142	turn
143	magic
144	temple
145	i've
146	rupees
147	anyone
148	end
149	find
150	leave
151	knew
152	together
153	inside
154	can't
155	left
156	saw
157	save
158	life
159	love
160	since
161	mother
162	try
163	mandrax
164	brave
165	die
166	rama
167	tv
168	watch
169	later
170	money
171	place
172	next
173	set
174	friend
175	person
176	also
177	crazy
178	far
179	coming
180	stop
181	girl
182	put
183	protect
184	send
185	shove
186	ass
187	open
188	hindus
189	wait
190	muslim
191	home
192	gopalmath
193	buy
194	make
195	isa's
196	real
197	new
198	happened
199	something
200	fucked
201	world
202	enough
203	gun
204	majid
205	kid
206	beggar
207	someone
208	wanted
209	feels
210	kailashpada
211	hell
212	garbage
213	mathu
214	second
215	ago
216	mind
217	scared
218	kharvas
219	ducks
220	ifs
221	tankers
222	grow
223	phone
224	nag
225	seen
226	alive
227	really
228	beat
229	women
230	sonu
231	pickpocket
232	she'll
233	stopped
234	follow
235	where's
236	raw
237	dickhead
238	burn
239	thing
240	shah
241	shut
242	lost
243	cunt
244	guys
245	even
246	bitch
247	front
248	hello
249	ask
250	election
251	win
252	hear
253	taught
254	became
255	involved
256	began
257	game
258	long
259	live
260	reason
261	understand
262	use
263	word
264	fucker
265	holy
266	serve
267	demon
268	name
269	blue
270	ten
271	who's
272	part
273	murder
274	junaid
275	shot
276	run
277	fire
278	become
279	surrendering
